MISSION REPORT
====================

Packet 1 | Time 0 s | Altitude 4.23 m | Velocity 4.23 m/s | Battery 23.98 V | Status HEALTHY
Packet 2 | Time 1 s | Altitude 12.76 m | Velocity 8.53 m/s | Battery 23.97 V | Status HEALTHY
Packet 3 | Time 2 s | Altitude 24.15 m | Velocity 11.39 m/s | Battery 23.96 V | Status HEALTHY
Packet 4 | Time 3 s | Altitude 40.27 m | Velocity 16.12 m/s | Battery 23.95 V | Status HEALTHY
Packet 5 | Time 4 s | Altitude 57.48 m | Velocity 17.21 m/s | Battery 23.94 V | Status HEALTHY
Packet 6 | Time 5 s | Altitude 78.45 m | Velocity 20.97 m/s | Battery 23.93 V | Status HEALTHY
Packet 7 | Time 6 s | Altitude 103.98 m | Velocity 25.52 m/s | Battery 23.92 V | Status HEALTHY
Packet 8 | Time 7 s | Altitude 130.73 m | Velocity 26.76 m/s | Battery 23.9 V | Status HEALTHY
Packet 9 | Time 8 s | Altitude 161.45 m | Velocity 30.72 m/s | Battery 23.89 V | Status HEALTHY
Packet 10 | Time 9 s | Altitude 194.88 m | Velocity 33.43 m/s | Battery 23.88 V | Status HEALTHY
Packet 11 | Time 10 s | Altitude 229.82 m | Velocity 34.94 m/s | Battery 23.87 V | Status HEALTHY
Packet 12 | Time 11 s | Altitude 265.93 m | Velocity 36.11 m/s | Battery 23.86 V | Status HEALTHY
Packet 13 | Time 12 s | Altitude 303.74 m | Velocity 37.81 m/s | Battery 23.84 V | Status HEALTHY
Packet 14 | Time 13 s | Altitude 344.08 m | Velocity 40.33 m/s | Battery 23.83 V | Status HEALTHY
Packet 15 | Time 14 s | Altitude 388.5 m | Velocity 44.42 m/s | Battery 23.81 V | Status HEALTHY
Packet 16 | Time 15 s | Altitude 437.66 m | Velocity 49.16 m/s | Battery 23.8 V | Status HEALTHY
Packet 17 | Time 16 s | Altitude 488.39 m | Velocity 50.73 m/s | Battery 23.78 V | Status HEALTHY
Packet 18 | Time 17 s | Altitude 540.66 m | Velocity 52.27 m/s | Battery 23.78 V | Status HEALTHY
Packet 19 | Time 18 s | Altitude 594.87 m | Velocity 54.22 m/s | Battery 23.76 V | Status HEALTHY
Packet 20 | Time 19 s | Altitude 652.58 m | Velocity 57.71 m/s | Battery 23.74 V | Status HEALTHY
Packet 21 | Time 20 s | Altitude 713.41 m | Velocity 60.83 m/s | Battery 23.73 V | Status HEALTHY
Packet 22 | Time 21 s | Altitude 776.96 m | Velocity 63.55 m/s | Battery 23.73 V | Status HEALTHY
Packet 23 | Time 22 s | Altitude 842.17 m | Velocity 65.21 m/s | Battery 23.71 V | Status HEALTHY
Packet 24 | Time 23 s | Altitude 910.94 m | Velocity 68.77 m/s | Battery 23.7 V | Status HEALTHY
Packet 25 | Time 24 s | Altitude 982.27 m | Velocity 71.33 m/s | Battery 23.69 V | Status HEALTHY
Packet 26 | Time 25 s | Altitude 1056.89 m | Velocity 74.62 m/s | Battery 23.68 V | Status HEALTHY
Packet 27 | Time 26 s | Altitude 1135.86 m | Velocity 78.97 m/s | Battery 23.68 V | Status HEALTHY
