# Simulation 1 (Up to date)
# 79 data points written for 6 variables.
# Simulation warnings:
#   No recovery device defined in the simulation.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Mach number (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-1.104e-4,-0.022,-2.208,0.044,1.297e-4
0.02,-8.643e-5,-0.017,-1.729,0.035,1.016e-4
0.03,-6.245e-5,-0.012,-1.249,0.025,7.338e-5
0.04,-2.793e-5,-0.006,-0.558,0.011,3.282e-5
0.05,2.194e-5,0.004,0.439,0.009,2.579e-5
0.06,1.378e-4,0.019,1.439,0.038,1.104e-4
0.07,4.476e-4,0.043,2.44,0.086,2.537e-4
0.08,0.001,0.078,3.441,0.155,4.559e-4
0.09,0.002,0.122,4.442,0.244,7.168e-4
0.1,0.004,0.179,5.671,0.357,0.001
0.11,0.006,0.252,7.37,0.505,0.001
0.12,0.009,0.343,9.084,0.686,0.002
0.13,0.013,0.451,10.798,0.902,0.003
0.14,0.018,0.576,12.512,1.153,0.003
# Event LIFTOFF occurred at t=0.15 seconds
0.15,0.024,0.716,13.946,1.431,0.004
0.16,0.032,0.868,15.188,1.735,0.005
0.17,0.042,1.032,16.431,2.064,0.006
0.18,0.053,1.209,17.674,2.417,0.007
0.19,0.066,1.398,18.918,2.795,0.008
0.2,0.081,1.587,18.982,3.175,0.009
0.21,0.098,1.753,16.603,3.507,0.01
0.22,0.116,1.892,13.874,3.784,0.011
0.23,0.135,2.002,10.956,4.003,0.012
0.24,0.156,2.089,8.756,4.179,0.012
0.25,0.177,2.165,7.622,4.331,0.013
0.26,0.199,2.236,7.094,4.473,0.013
0.27,0.222,2.305,6.857,4.61,0.014
0.28,0.245,2.371,6.619,4.742,0.014
0.29,0.269,2.435,6.382,4.87,0.014
0.3,0.294,2.497,6.183,4.994,0.015
0.31,0.319,2.557,6.066,5.115,0.015
0.32,0.345,2.617,5.951,5.234,0.015
0.33,0.371,2.675,5.836,5.351,0.016
0.34,0.398,2.733,5.721,5.465,0.016
0.35,0.426,2.789,5.605,5.577,0.016
0.36,0.454,2.844,5.49,5.687,0.017
0.37,0.483,2.897,5.375,5.795,0.017
# Event LAUNCHROD occurred at t=0.38 seconds
0.38,0.512,2.95,5.281,5.9,0.017
0.395,0.556,2.918,-2.139,6.057,0.018
0.418,0.621,2.867,-2.248,6.292,0.018
0.451,0.717,2.786,-2.4,6.639,0.02
0.501,0.853,2.655,-2.565,7.144,0.021
0.551,0.982,2.524,-2.557,7.653,0.022
0.601,1.105,2.396,-2.503,8.165,0.024
0.651,1.222,2.27,-2.448,8.677,0.025
0.701,1.332,2.154,-2.259,9.202,0.027
0.751,1.437,2.038,-2.289,9.719,0.029
0.801,1.536,1.926,-2.219,10.243,0.03
0.847,1.622,1.832,-2.076,10.74,0.032
0.888,1.696,1.748,-2.079,11.2,0.033
0.927,1.762,1.664,-2.234,11.634,0.034
0.965,1.823,1.575,-2.443,12.057,0.035
1.002,1.88,1.479,-2.71,12.478,0.037
1.04,1.934,1.371,-3.044,12.909,0.038
1.079,1.985,1.244,-3.457,13.36,0.039
1.12,2.033,1.09,-3.959,13.851,0.041
1.166,2.079,0.893,-4.598,14.406,0.042
1.216,2.118,0.644,-5.384,15.024,0.044
1.266,2.143,0.347,-6.357,15.625,0.046
1.316,2.152,0.009,-7.207,16.253,0.048
# Event APOGEE occurred at t=1.366 seconds
1.366,2.143,-0.374,-8.104,16.907,0.05
1.416,2.114,-0.802,-9.022,17.58,0.052
1.466,2.062,-1.275,-9.924,18.271,0.054
1.516,1.985,-1.794,-10.788,18.978,0.056
1.566,1.882,-2.354,-11.629,19.699,0.058
1.616,1.749,-2.957,-12.472,20.434,0.06
1.666,1.585,-3.602,-13.308,21.181,0.062
1.713,1.403,-4.239,-14.025,21.883,0.064
1.753,1.221,-4.814,-14.577,22.494,0.066
1.789,1.036,-5.352,-15.011,23.051,0.068
1.823,0.846,-5.867,-15.342,23.572,0.069
1.856,0.648,-6.292,-13.14,23.844,0.07
# Event BURNOUT occurred at t=1.86 seconds
# Event EJECTION_CHARGE occurred at t=1.86 seconds
1.86,0.622,-6.337,-10.834,23.851,0.07
1.866,0.582,-6.404,-10.592,23.859,0.07
1.876,0.521,-6.503,-10.588,23.87,0.07
1.89,0.429,-6.652,-10.576,23.887,0.07
1.911,0.286,-6.875,-10.546,23.915,0.07
1.943,0.063,-7.208,-10.474,23.96,0.07
# Event GROUND_HIT occurred at t=1.978 seconds
# Event SIMULATION_END occurred at t=1.978 seconds
1.978,-0.2,-7.578,-10.362,24.016,0.071
