MISSION REPORT
====================

Packet 1 | Time 0 s | Altitude 3.56 m | Velocity 3.56 m/s | Battery 23.99 V | Status HEALTHY
Packet 2 | Time 1 s | Altitude 9.01 m | Velocity 5.45 m/s | Battery 23.98 V | Status HEALTHY
Packet 3 | Time 2 s | Altitude 19.03 m | Velocity 10.02 m/s | Battery 23.96 V | Status HEALTHY
Packet 4 | Time 3 s | Altitude 30.17 m | Velocity 11.14 m/s | Battery 23.95 V | Status HEALTHY
Packet 5 | Time 4 s | Altitude 42.41 m | Velocity 12.24 m/s | Battery 23.94 V | Status HEALTHY
Packet 6 | Time 5 s | Altitude 57.83 m | Velocity 15.42 m/s | Battery 23.92 V | Status HEALTHY
Packet 7 | Time 6 s | Altitude 77.5 m | Velocity 19.66 m/s | Battery 23.91 V | Status HEALTHY
Packet 8 | Time 7 s | Altitude 100.95 m | Velocity 23.45 m/s | Battery 23.9 V | Status HEALTHY
Packet 9 | Time 8 s | Altitude 129.24 m | Velocity 28.28 m/s | Battery 23.89 V | Status HEALTHY
Packet 10 | Time 9 s | Altitude 158.91 m | Velocity 29.67 m/s | Battery 23.88 V | Status HEALTHY
Packet 11 | Time 10 s | Altitude 192.8 m | Velocity 33.9 m/s | Battery 23.87 V | Status HEALTHY
Packet 12 | Time 11 s | Altitude 231.6 m | Velocity 38.79 m/s | Battery 23.85 V | Status HEALTHY
Packet 13 | Time 12 s | Altitude 274.7 m | Velocity 43.11 m/s | Battery 23.83 V | Status HEALTHY
Packet 14 | Time 13 s | Altitude 321.12 m | Velocity 46.42 m/s | Battery 23.83 V | Status HEALTHY
Packet 15 | Time 14 s | Altitude 369.45 m | Velocity 48.33 m/s | Battery 23.82 V | Status HEALTHY
Packet 16 | Time 15 s | Altitude 419.71 m | Velocity 50.26 m/s | Battery 23.81 V | Status HEALTHY
Packet 17 | Time 16 s | Altitude 473.52 m | Velocity 53.8 m/s | Battery 23.8 V | Status HEALTHY
Packet 18 | Time 17 s | Altitude 529.16 m | Velocity 55.64 m/s | Battery 23.78 V | Status HEALTHY
Packet 19 | Time 18 s | Altitude 588.39 m | Velocity 59.23 m/s | Battery 23.78 V | Status HEALTHY
Packet 20 | Time 19 s | Altitude 651.54 m | Velocity 63.15 m/s | Battery 23.77 V | Status HEALTHY
Packet 21 | Time 20 s | Altitude 719.65 m | Velocity 68.11 m/s | Battery 23.75 V | Status HEALTHY
Packet 22 | Time 21 s | Altitude 791.5 m | Velocity 71.85 m/s | Battery 23.74 V | Status HEALTHY
Packet 23 | Time 22 s | Altitude 865.26 m | Velocity 73.76 m/s | Battery 23.73 V | Status HEALTHY
Packet 24 | Time 23 s | Altitude 941.1 m | Velocity 75.83 m/s | Battery 23.71 V | Status HEALTHY
Packet 25 | Time 24 s | Altitude 1021.44 m | Velocity 80.34 m/s | Battery 23.69 V | Status HEALTHY
Packet 26 | Time 25 s | Altitude 1104.36 m | Velocity 82.92 m/s | Battery 23.68 V | Status HEALTHY
Packet 27 | Time 26 s | Altitude 1189.34 m | Velocity 84.98 m/s | Battery 23.67 V | Status HEALTHY
Packet 28 | Time 27 s | Altitude 1276.37 m | Velocity 87.03 m/s | Battery 23.65 V | Status HEALTHY
Packet 29 | Time 28 s | Altitude 1366.0 m | Velocity 89.63 m/s | Battery 23.63 V | Status HEALTHY
Packet 30 | Time 29 s | Altitude 1458.67 m | Velocity 92.67 m/s | Battery 23.62 V | Status HEALTHY
Packet 31 | Time 30 s | Altitude 1552.78 m | Velocity 94.11 m/s | Battery 23.61 V | Status HEALTHY
Packet 32 | Time 31 s | Altitude 1649.58 m | Velocity 96.8 m/s | Battery 23.59 V | Status HEALTHY
Packet 33 | Time 32 s | Altitude 1751.36 m | Velocity 101.78 m/s | Battery 23.57 V | Status HEALTHY
Packet 34 | Time 33 s | Altitude 1857.58 m | Velocity 106.22 m/s | Battery 23.56 V | Status HEALTHY
Packet 35 | Time 34 s | Altitude 1967.53 m | Velocity 109.95 m/s | Battery 23.55 V | Status HEALTHY
Packet 36 | Time 35 s | Altitude 2081.04 m | Velocity 113.51 m/s | Battery 23.54 V | Status HEALTHY
Packet 37 | Time 36 s | Altitude 2197.37 m | Velocity 116.33 m/s | Battery 23.52 V | Status HEALTHY
Packet 38 | Time 37 s | Altitude 2315.75 m | Velocity 118.38 m/s | Battery 23.51 V | Status HEALTHY
Packet 39 | Time 38 s | Altitude 2438.79 m | Velocity 123.03 m/s | Battery 23.5 V | Status HEALTHY
Packet 40 | Time 39 s | Altitude 2565.38 m | Velocity 126.59 m/s | Battery 23.5 V | Status HEALTHY
Packet 41 | Time 40 s | Altitude 2696.01 m | Velocity 130.64 m/s | Battery 23.48 V | Status HEALTHY
Packet 42 | Time 41 s | Altitude 2829.78 m | Velocity 133.76 m/s | Battery 23.47 V | Status HEALTHY
Packet 43 | Time 42 s | Altitude 2964.61 m | Velocity 134.84 m/s | Battery 23.45 V | Status HEALTHY
Packet 44 | Time 43 s | Altitude 3103.78 m | Velocity 139.16 m/s | Battery 23.45 V | Status HEALTHY
Packet 45 | Time 44 s | Altitude 3247.45 m | Velocity 143.68 m/s | Battery 23.44 V | Status HEALTHY
Packet 46 | Time 45 s | Altitude 3394.08 m | Velocity 146.62 m/s | Battery 23.42 V | Status HEALTHY
