Timestamp,Temperature_C,Altitude_m,Velocity_mps,Battery_V
0,27.83,3.35,3.35,23.99
1,27.94,8.46,5.12,23.98
2,27.73,14.8,6.34,23.96
3,28.01,24.17,9.37,23.94
4,27.8,35.71,11.54,23.93
5,28.22,51.7,15.99,23.91
6,28.34,69.46,17.76,23.9
7,28.82,90.92,21.45,23.89
8,29.0,114.45,23.53,23.87
9,29.33,142.33,27.88,23.86
10,29.29,172.37,30.04,23.84
11,29.53,205.05,32.68,23.83
12,29.81,241.19,36.15,23.82
13,29.82,278.45,37.25,23.8
14,29.95,317.21,38.76,23.79
15,30.17,358.28,41.08,23.78
16,30.65,402.02,43.74,23.76
17,30.74,450.63,48.6,23.74
18,30.53,503.94,53.31,23.73
19,30.43,558.77,54.84,23.72
20,30.85,617.57,58.8,23.7
21,30.72,679.88,62.3,23.68
22,31.06,745.41,65.53,23.67
23,31.07,813.68,68.27,23.65
24,31.48,886.06,72.38,23.63
25,31.38,959.59,73.53,23.62
26,31.42,1037.4,77.81,23.6
27,31.79,1119.79,82.39,23.6
28,31.93,1203.8,84.01,23.59
29,32.05,1292.64,88.84,23.58
30,32.34,1385.67,93.03,23.57
31,32.58,1482.77,97.1,23.56
32,32.98,1583.75,100.98,23.55
33,33.4,1688.14,104.39,23.54
34,33.37,1795.69,107.55,23.52
35,33.68,1905.03,109.34,23.51
36,33.45,2018.9,113.88,23.49
37,33.32,2134.36,115.46,23.47
38,33.05,2251.99,117.62,23.46
39,32.85,2372.14,120.15,23.44
40,33.12,2495.73,123.59,23.43
41,33.09,2622.35,126.62,23.42
42,33.4,2752.55,130.2,23.41
43,33.67,2885.13,132.58,23.39
44,33.45,3020.94,135.81,23.38
45,33.88,3159.01,138.07,23.36
46,34.37,3301.1,142.09,23.35
47,34.52,3444.73,143.62,23.34
48,34.33,3591.64,146.91,23.32
49,34.74,3739.74,148.1,23.31
50,35.08,3892.44,152.7,23.29
51,35.55,4047.11,154.67,23.28
52,35.7,4204.62,157.51,23.28
53,35.63,4366.45,161.84,23.26
54,35.37,4529.67,163.22,23.25
55,35.16,4694.59,164.92,23.24
56,35.51,4861.55,166.96,23.23
57,35.87,5033.27,171.72,23.21
58,35.86,5208.96,175.69,23.2
59,35.7,5387.47,178.52,23.19
60,35.68,5567.83,180.36,23.18
61,35.66,5752.22,184.39,23.16
62,35.85,5939.19,186.97,23.15
63,35.55,6128.11,188.92,23.14
64,35.77,6320.59,192.48,23.12
65,35.56,6515.1,194.51,23.11
66,35.55,6714.0,198.9,23.09
67,35.43,6916.07,202.07,23.08
68,35.16,7120.96,204.9,23.07
69,35.27,7327.2,206.23,23.06
70,35.08,7535.84,208.64,23.05
71,35.37,7746.53,210.7,23.04
72,35.22,7961.44,214.9,23.03
73,34.96,8178.34,216.9,23.02
74,35.24,8398.42,220.08,23.01
75,35.36,8623.22,224.79,22.99
76,35.33,8852.03,228.82,22.98
77,35.35,9084.24,232.21,22.97
78,35.12,9320.8,236.56,22.96
79,35.01,9560.91,240.11,22.95
80,35.11,9802.63,241.72,22.93
81,35.55,10045.76,243.13,22.91
82,36.03,10289.92,244.15,22.89
83,36.4,10536.38,246.46,22.88
84,36.49,10786.99,250.61,22.87
85,36.32,11040.6,253.6,22.85
86,36.06,11298.52,257.92,22.85
87,36.47,11559.3,260.78,22.84
88,36.96,11824.84,265.54,22.82
89,36.92,12094.24,269.4,22.81
90,36.95,12366.33,272.09,22.8
91,36.92,12642.14,275.81,22.8
92,37.29,12921.16,279.02,22.78
93,37.54,13201.27,280.11,22.77
94,37.4,13484.95,283.68,22.76
95,37.15,13773.18,288.23,22.75
96,37.33,14063.07,289.89,22.74
97,37.77,14356.03,292.96,22.73
98,38.11,14650.51,294.49,22.72
99,38.17,14949.22,298.7,22.71
